date_of_contract,municipality_name,zone_name,real_estate_type,area_in_square_meters,price_per_square_foot,real_estate_value,district_translated,latitude,longitude
2023-11-23,Doha,The Pearl Island,Residential Unit,247,1116.97,2973530,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-23,Umm Salal,Umm Slal Ali,Vacant Land,550,236.481,1400000,Umm Slal Ali,25.468814293441394,51.34446945529472
2023-11-23,Al Khor,Al Dakhira,Residence,454,368.338,1800000,Al Dakhira,,
2023-11-23,Doha,Old Airport,Vacant Land,388,287.329,1200000,Old Airport,25.277967458892473,51.52339248614074
2023-11-23,Doha,Nuaija,Residence,636,452.83,3100000,Nuaija,25.277967458892473,51.52339248614074
2023-11-23,Al Shamal,Aba Al Dalouf,Vacant Land,658,138.366,980000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2023-11-23,Al Shamal,Aba Al Dalouf,Vacant Land,645,141.155,980000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2023-11-23,Doha,The Pearl Island,Residential Unit,158,1423.38,2429625,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-23,Doha,The Pearl Island,Residential Unit,201,1121.71,2436280,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-23,Doha,The Pearl Island,Residential Unit,219,1121.43,2648380,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-22,Doha,Nuaija44,Vacant Land,525,365.003,2062651,Nuaija,25.277967458892473,51.52339248614074
2023-11-22,Al Rayyan,Izghawa,Vacant Land,675,350.012,2543056,Izghawa,24.928100723590358,51.08167176463156
2023-11-22,Doha,Lusail,Residential Unit,409,1532.84,6750870,Lusail,25.277967458892473,51.52339248614074
2023-11-22,Doha,The Pearl Island,Residential Unit,143,2147.17,3305012,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-22,Al Daayen,Lusail,Residential Unit,128,1195.66,1655080,Lusail,25.506442965229745,51.466419091145966
2023-11-22,Doha,Airport,Vacant Land,579,305.003,1900869,Airport,25.277967458892473,51.52339248614074
2023-11-22,Doha,Al Salatah Ai Jadidah,Residence,450,557.419,2700000,Al Salatah Ai Jadidah,25.277967458892473,51.52339248614074
2023-11-22,Al Rayyan,New Al Rayyan,Residence,603,369.764,2400000,New Al Rayyan,24.928100723590358,51.08167176463156
2023-11-22,Al Rayyan,Izghawa,Vacant Land,1281,230.002,3171397,Izghawa,24.928100723590358,51.08167176463156
2023-11-22,Doha,The Pearl Island,Residential Unit,143,1475.87,2271710,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-22,Al Daayen,Lusail,Residential Unit,129,1581.56,2198278,Lusail,25.506442965229745,51.466419091145966
2023-11-22,Doha,The Pearl Island,Residential Unit,163,1122.47,1976030,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-22,Umm Salal,Umm Ebairiya,Vacant Land,450,309.677,1500000,Umm Ebairiya,25.468814293441394,51.34446945529472
2023-11-22,Umm Salal,Umm Al Amad,Residence,560,497.695,3000000,Umm Al Amad,25.468814293441394,51.34446945529472
2023-11-22,Al Wakrah,Al Wukair,Vacant Land,500,189.984,1022485,Al Wukair,,
2023-11-21,Umm Salal,Al Kharaitiyat,Residence,900,371.613,3600000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2023-11-21,Al Khor,Al Dakhira,Vacant Land,600,185.806,1200000,Al Dakhira,,
2023-11-21,Doha,Umm Ghuwailina,Apartment Complex,2977,1560.348,50000000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2023-11-21,Doha,Rawdat Al Khail,Residential Building,3260,1538.886,54000000,Rawdat Al Khail,25.277967458892473,51.52339248614074
2023-11-21,Al Rayyan,Ain Khalid,Shops,1127,659.472,8000000,Ain Khalid,24.928100723590358,51.08167176463156
2023-11-21,Al Daayen,Al Sakhama,Vacant Land,680,269.966,1976000,Al Sakhama,25.506442965229745,51.466419091145966
2023-11-21,Doha,The Pearl Island,Residential Unit,76,1694.72,1398600,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-21,Doha,The Pearl Island,Residential Unit,79,1636.85,1400000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-21,Doha,The Pearl Island,Residential Unit,192,1263.77,2617650,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-21,Al Daayen,Lusail,Residential Unit,130,1195.63,1676010,Lusail,25.506442965229745,51.466419091145966
2023-11-21,Doha,The Pearl Island,Residential Unit,76,1620.09,1340670,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-21,Doha,The Pearl Island,Residential Unit,129,1437.68,2000000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-21,Doha,Fereej Bin Omran,Residence,73,890.852,700000,Fereej Bin Omran,25.277967458892473,51.52339248614074
2023-11-21,Al Daayen,Umm Qarn,Residence,422,444.702,2020000,Umm Qarn,25.506442965229745,51.466419091145966
2023-11-21,Doha,Ras Abu Aboud,Residence,283,590.903,1800000,Ras Abu Aboud,25.277967458892473,51.52339248614074
2023-11-21,Doha,Al Hilal,Residence,144,550.018,852529,Al Hilal,25.277967458892473,51.52339248614074
2023-11-21,Doha,Nuaija,Apartment Complex,9298,439.636,44000000,Nuaija,25.277967458892473,51.52339248614074
2023-11-21,Doha,Nuaija,Residential Building,578,675.075,4200000,Nuaija,25.277967458892473,51.52339248614074
2023-11-21,Doha,Najma,Residential Building,131,1453.828,2050000,Najma,25.277967458892473,51.52339248614074
2023-11-21,Al Rayyan,Muaither,Residence,524,407.781,2300000,Muaither,24.928100723590358,51.08167176463156
2023-11-21,Al Rayyan,Gharrafat Al Rayyan,Residence,2327,479.088,12000000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2023-11-21,Al Rayyan,Al Gharrafa,Residence,464,460.511,2300000,Al Gharrafa,24.928100723590358,51.08167176463156
2023-11-21,Al Wakrah,Al Wukair,Residence,470,592.999,3000000,Al Wukair,,
2023-11-21,Al Wakrah,Al Wakrah,Vacant Land,364,255.228,1000000,Al Wakrah,,
2023-11-21,Doha,The Pearl Island,Residential Unit,177,1479.6,2831850,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-20,Al Rayyan,Al Gharrafa,Vacant Land,1000,280.289,3017007,Al Gharrafa,24.928100723590358,51.08167176463156
2023-11-20,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,900,280.01,2712597,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2023-11-20,Al Shamal,Madinat Al Shamal,Residence,580,188.209,1175000,Madinat Al Shamal,25.995427919236633,51.2017975520098
2023-11-20,Al Daayen,Jeryan Jenaihat,Vacant Land,477,339.866,1745000,Jeryan Jenaihat,25.506442965229745,51.466419091145966
2023-11-20,Al Daayen,Lusail,Residential Unit,70,1450.59,1099070,Lusail,25.506442965229745,51.466419091145966
2023-11-20,Doha,Al Maamoura,Apartment Complex,3566,367.34,14100000,Al Maamoura,25.277967458892473,51.52339248614074
2023-11-20,Doha,Airport,Vacant Land,644,360.649,2500000,Airport,25.277967458892473,51.52339248614074
2023-11-20,Al Rayyan,Al Waab,Vacant Land,1820,949.45,18600000,Al Waab,24.928100723590358,51.08167176463156
2023-11-20,Al Rayyan,Al Mearad,Vacant Land,900,206.451,2000000,Al Mearad,24.928100723590358,51.08167176463156
2023-11-20,Al Shamal,Madinat Al Shamal,Vacant Land,733,129.912,1025000,Madinat Al Shamal,25.995427919236633,51.2017975520098
2023-11-20,Al Daayen,Umm Qarn,Vacant Land,553,259.894,1547000,Umm Qarn,25.506442965229745,51.466419091145966
2023-11-20,Al Wakrah,Al Wakrah,Residence,613,318.265,2100000,Al Wakrah,,
2023-11-20,Doha,The Pearl Island,Residential Unit,120,1422.65,1850000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-20,Umm Salal,Umm Slal Ali,Residence,652,349.099,2450000,Umm Slal Ali,25.468814293441394,51.34446945529472
2023-11-20,Umm Salal,Al Kharaitiyat,Vacant Land,747,280.451,2255000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2023-11-20,Doha,Al Salatah Ai Jadidah,Residence,900,263.226,2550000,Al Salatah Ai Jadidah,25.277967458892473,51.52339248614074
2023-11-20,Al Rayyan,New Al Rayyan,Vacant Land,1265,297.437,4050000,New Al Rayyan,24.928100723590358,51.08167176463156
2023-11-20,Al Rayyan,Muaither,Vacant Land,604,223.029,1450000,Muaither,24.928100723590358,51.08167176463156
2023-11-20,Al Daayen,Al Sakhama,Vacant Land,1200,192.506,2486543,Al Sakhama,25.506442965229745,51.466419091145966
2023-11-20,Al Daayen,Al Sakhama,Vacant Land,4945,206.66,11000000,Al Sakhama,25.506442965229745,51.466419091145966
2023-11-20,Al Daayen,Al Kheesa,Residence,525,407.004,2300000,Al Kheesa,25.506442965229745,51.466419091145966
2023-11-20,Al Daayen,Umm Qarn,Vacant Land,499,244.825,1315000,Umm Qarn,25.506442965229745,51.466419091145966
2023-11-20,Al Wakrah,Al Wukair,Residence,450,402.58,1950000,Al Wukair,,
2023-11-20,Doha,The Pearl Island,Residential Unit,172,1131.26,2100000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-20,Doha,The Pearl Island,Residential Unit,118,1119.81,1433040,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-19,Al Rayyan,Al Aziziya,Residence,974,381.532,4000000,Al Aziziya,24.928100723590358,51.08167176463156
2023-11-19,Al Rayyan,Rawdat Aba Al Heeran,Vacant Land,1160,240.267,3000000,Rawdat Aba Al Heeran,24.928100723590358,51.08167176463156
2023-11-19,Al Rayyan,Ain Khalid,Residence,1015,397.068,4338107,Ain Khalid,24.928100723590358,51.08167176463156
2023-11-19,Al Daayen,Umm Qarn,Vacant Land,400,280.01,1205600,Umm Qarn,25.506442965229745,51.466419091145966
2023-11-19,Al Daayen,Umm Qarn,Vacant Land,406,278.023,1215000,Umm Qarn,25.506442965229745,51.466419091145966
2023-11-19,Doha,The Pearl Island,Residential Unit,118,1181.6,1502327,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-19,Al Rayyan,Muaither,Vacant Land,620,245.0,1635000,Muaither,24.928100723590358,51.08167176463156
2023-11-19,Al Shamal,Aba Al Dalouf,Vacant Land,516,153.038,850000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2023-11-19,Al Daayen,Umm Qarn,Vacant Land,499,199.993,1074200,Umm Qarn,25.506442965229745,51.466419091145966
2023-11-19,Al Wakrah,Al Wakrah,Vacant Land,743,262.58,2100000,Al Wakrah,,
2023-11-19,Doha,The Pearl Island,Residential Unit,57,1211.42,753950,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-19,Doha,The Pearl Island,Residential Unit,57,1212.85,754320,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-19,Doha,The Pearl Island,Residential Unit,76,1694.72,1398600,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Umm Salal,Al Kharaitiyat,Vacant Land,940,330.003,3338993,Al Kharaitiyat,25.468814293441394,51.34446945529472
2023-11-16,Doha,Al Mansoura,Residential Building,639,2471.601,17000000,Al Mansoura,25.277967458892473,51.52339248614074
2023-11-16,Doha,Al Doha Al Jadeedah,Residential Building,291,1053.541,3300000,Al Doha Al Jadeedah,25.277967458892473,51.52339248614074
2023-11-16,Al Rayyan,Gharrafat Al Rayyan,Residence,627,674.177,4550000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2023-11-16,Al Sheehaniya,Lijmiliya,Residence,747,149.242,1200000,Lijmiliya,25.40577484497763,51.03236031637194
2023-11-16,Doha,The Pearl Island,Residential Unit,107,1727.58,2006458,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,79,1281.63,1093554,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,267,1220.04,3512796,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,118,1170.45,1488155,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,450,1163.5,5640600,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,120,1245.53,1620480,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,120,1278.85,1653912,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,79,1232.91,1050000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,116,1726.65,2160943,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,228,1094.16,2695392,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,128,1160.55,1610606,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,92,1277.17,1264893,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,92,1276.61,1264893,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,125,1243.83,1684130,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,76,1468.93,1215270,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,76,1781.67,1474000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Umm Salal,Umm Al Amad,Vacant Land,410,226.593,1000000,Umm Al Amad,25.468814293441394,51.34446945529472
2023-11-16,Doha,Nuaija,Residence,478,359.562,1850000,Nuaija,25.277967458892473,51.52339248614074
2023-11-16,Al Rayyan,Muaither,Residence,832,362.903,3250000,Muaither,24.928100723590358,51.08167176463156
2023-11-16,Al Rayyan,Umm Al Senaim,Vacant Land,1200,309.677,4000000,Umm Al Senaim,24.928100723590358,51.08167176463156
2023-11-16,Al Wakrah,Al Wakrah,Residential Building,906,1251.013,12200000,Al Wakrah,,
2023-11-16,Doha,The Pearl Island,Residential Unit,79,1487.32,1272908,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,111,1677.52,2006458,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,105,1260.03,1430880,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,192,1218.9,2524578,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-16,Doha,The Pearl Island,Residential Unit,182,1218.14,2394378,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-15,Umm Salal,Umm Al Amad,Vacant Land,560,274.404,1654048,Umm Al Amad,25.468814293441394,51.34446945529472
2023-11-15,Umm Salal,Al Kharaitiyat,Residence,600,309.677,2000000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2023-11-15,Doha,Najma,Commercial Building,256,2377.014,6550000,Najma,25.277967458892473,51.52339248614074
2023-11-15,Doha,Al Sadd,Vacant Land,961,1256.754,13000000,Al Sadd,25.277967458892473,51.52339248614074
2023-11-15,Doha,Madinat Khalifa North,Vacant Land,229,397.577,980000,Madinat Khalifa North,25.277967458892473,51.52339248614074
2023-11-15,Al Rayyan,Fereej Al Murrah,Residence,754,283.392,2300000,Fereej Al Murrah,24.928100723590358,51.08167176463156
2023-11-15,Doha,The Pearl Island,Residential Unit,128,1244.31,1726840,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-15,Doha,Airport,Residence,500,483.096,2600000,Airport,25.277967458892473,51.52339248614074
2023-11-15,Al Wakrah,Al Wukair,Vacant Land,500,234.98,1264652,Al Wukair,,
2023-11-15,Doha,The Pearl Island,Residential Unit,134,947.99,1370000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-15,Doha,The Pearl Island,Residential Unit,79,1303.67,1112364,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-15,Doha,Fereej Abdel Aziz,Residential Building,230,2019.633,5000000,Fereej Abdel Aziz,25.277967458892473,51.52339248614074
2023-11-15,Al Daayen,Rawdat Al Hamama,Residence,1288,721.298,10000000,Rawdat Al Hamama,25.506442965229745,51.466419091145966
2023-11-15,Al Wakrah,Al Wukair,Vacant Land,457,235.022,1156098,Al Wukair,,
2023-11-15,Doha,The Pearl Island,Residential Unit,343,1131.38,4180966,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-15,Doha,The Pearl Island,Residential Unit,128,1243.58,1725830,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-15,Doha,The Pearl Island,Residential Unit,474,1241.28,6340740,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-14,Umm Salal,Umm Al Amad,Residence,564,535.346,3250000,Umm Al Amad,25.468814293441394,51.34446945529472
2023-11-14,Doha,Madinat Khalifa South,Residence,390,702.729,2950000,Madinat Khalifa South,25.277967458892473,51.52339248614074
2023-11-14,Al Rayyan,Al Maamoura,Residence,450,433.548,2100000,Al Maamoura,24.928100723590358,51.08167176463156
2023-11-14,Al Rayyan,Izghawa,Vacant Land,675,325.003,2361352,Izghawa,24.928100723590358,51.08167176463156
2023-11-14,Al Daayen,Al Sakhama,Vacant Land,540,274.924,1598000,Al Sakhama,25.506442965229745,51.466419091145966
2023-11-14,Al Wakrah,Al Wukair,Vacant Land,457,198.922,978518,Al Wukair,,
2023-11-14,Al Wakrah,Al Wukair,Residence,450,557.419,2700000,Al Wukair,,
2023-11-14,Al Wakrah,Al Wukair,Residence,450,516.128,2500000,Al Wukair,,
2023-11-14,Doha,The Pearl Island,Residential Unit,121,1476.67,1930740,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-14,Doha,The Pearl Island,Residential Unit,116,1620.36,2030000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-14,Al Daayen,Lusail,Residential Unit,88,1583.85,1512368,Lusail,25.506442965229745,51.466419091145966
2023-11-14,Al Khor,Al Khor,Residence,1290,288.072,4000000,Al Khor,,
2023-11-14,Al Khor,Al Dakhira,Vacant Land,387,252.063,1050000,Al Dakhira,,
2023-11-14,Doha,Msheireb 13,Residential Building,532,1047.78,6000000,Msheireb,25.277967458892473,51.52339248614074
2023-11-14,Al Rayyan,Muaither,Vacant Land,375,346.838,1400000,Muaither,24.928100723590358,51.08167176463156
2023-11-14,Doha,Fereej Bin Omran,Residence,117,635.235,800000,Fereej Bin Omran,25.277967458892473,51.52339248614074
2023-11-14,Doha,Airport,Residence,453,758.811,3700000,Airport,25.277967458892473,51.52339248614074
2023-11-14,Al Rayyan,New Al Rayyan,Residence,802,347.518,3000000,New Al Rayyan,24.928100723590358,51.08167176463156
2023-11-14,Al Wakrah,Al Wukair,Vacant Land,500,181.815,978518,Al Wukair,,
2023-11-13,Al Daayen,Al Sakhama,Vacant Land,600,274.838,1775000,Al Sakhama,25.506442965229745,51.466419091145966
2023-11-13,Al Daayen,Al Ebb,Residence,540,602.15,3500000,Al Ebb,25.506442965229745,51.466419091145966
2023-11-13,Doha,The Pearl Island,Residential Unit,124,1178.11,1584123,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-13,Umm Salal,Umm Ebairiya,Vacant Land,450,280.003,1356264,Umm Ebairiya,25.468814293441394,51.34446945529472
2023-11-13,Umm Salal,Umm Al Amad,Residence,645,489.722,3400000,Umm Al Amad,25.468814293441394,51.34446945529472
2023-11-13,Doha,Umm Ghuwailina,Vacant Land,344,1053.0,3900000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2023-11-13,Doha,Fereej Bin Omran,Residence,547,526.508,3100000,Fereej Bin Omran,25.277967458892473,51.52339248614074
2023-11-13,Al Daayen,Al Sakhama,Vacant Land,540,274.924,1598000,Al Sakhama,25.506442965229745,51.466419091145966
2023-11-13,Umm Salal,Umm Slal Ali,Vacant Land,605,240.013,1563000,Umm Slal Ali,25.468814293441394,51.34446945529472
2023-11-13,Doha,Jeryan Najima,Residence,1085,428.125,5000000,Jeryan Najima,25.277967458892473,51.52339248614074
2023-11-13,Doha,Nuaija,Vacant Land,635,292.608,2000000,Nuaija,25.277967458892473,51.52339248614074
2023-11-13,Doha,Nuaija 44,Residence,556,668.368,4000000,Nuaija,25.277967458892473,51.52339248614074
2023-11-13,Al Rayyan,Al Maamoura,Residence,1007,363.18,3936600,Al Maamoura,24.928100723590358,51.08167176463156
2023-11-13,Al Rayyan,Muaither,Residence,479,523.671,2700000,Muaither,24.928100723590358,51.08167176463156
2023-11-13,Al Daayen,Al Sakhama,Vacant Land,600,271.277,1752000,Al Sakhama,25.506442965229745,51.466419091145966
2023-11-13,Doha,The Pearl Island,Residential Unit,249,1133.51,3050000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-13,Doha,The Pearl Island,Residential Unit,79,1253.58,1078260,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-12,Umm Salal,Umm Slal Muhammed,Residence,612,607.21,4000000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2023-11-12,Al Shamal,Aba Al Dalouf,Vacant Land,558,144.849,870000,Aba Al Dalouf,25.995427919236633,51.2017975520098
2023-11-12,Al Wakrah,Al Wakrah,Vacant Land,628,321.758,2175000,Al Wakrah,,
2023-11-12,Al Daayen,Lusail,Residential Unit,97,1583.19,1661192,Lusail,25.506442965229745,51.466419091145966
2023-11-12,Doha,The Pearl Island,Residential Unit,725,1102.82,8614781,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-12,Doha,The Pearl Island,Residential Unit,108,1180.34,1377733,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-12,Al Rayyan,Al Waab,Residence,662,533.281,3800000,Al Waab,24.928100723590358,51.08167176463156
2023-11-12,Doha,The Pearl Island,Residential Unit,92,1249.97,1237950,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-12,Umm Salal,Al Kharaitiyat,Residence,404,413.925,1800000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2023-11-12,Doha,Umm Ghuwailina,Residence,282,1581.33,4800000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2023-11-12,Al Rayyan,Al Maamoura,Residence,450,412.903,2000000,Al Maamoura,24.928100723590358,51.08167176463156
2023-11-09,Doha,The Pearl Island,Residential Unit,183,1189.55,2343305,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-09,Doha,The Pearl Island,Residential Unit,171,1161.49,2139750,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-09,Doha,Airport,Residence,420,397.271,1796000,Airport,25.277967458892473,51.52339248614074
2023-11-09,Al Rayyan,Muaither,Vacant Land,1054,352.574,4000000,Muaither,24.928100723590358,51.08167176463156
2023-11-09,Al Rayyan,Al Aziziya,Residence,483,403.927,2100000,Al Aziziya,24.928100723590358,51.08167176463156
2023-11-09,Al Rayyan,Rawdat Egdaim,Vacant Land,913,249.302,2450000,Rawdat Egdaim,24.928100723590358,51.08167176463156
2023-11-09,Doha,The Pearl Island,Residential Unit,183,1189.67,2343525,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-09,Umm Salal,Al Kharaitiyat,Residence,365,349.978,1375000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2023-11-09,Umm Salal,Umm Slal Muhammed,Residence,628,591.74,4000000,Umm Slal Muhammed,25.468814293441394,51.34446945529472
2023-11-09,Doha,Hazm Al Markhiya,Residence,873,351.18,3300000,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2023-11-09,Doha,The Pearl Island,Residential Unit,120,1499.55,1950000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-09,Doha,The Pearl Island,Residential Unit,59,1723.33,1100000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-09,Al Daayen,Lusail,Residential Unit,76,1449.86,1186850,Lusail,25.506442965229745,51.466419091145966
2023-11-09,Doha,The Pearl,Residential Unit,227,1386.86,3400000,The Pearl,25.277967458892473,51.52339248614074
2023-11-09,Doha,The Pearl,Residential Unit,182,1529.18,3000000,The Pearl,25.277967458892473,51.52339248614074
2023-11-09,Doha,Hazm Al Markhiya,Residence,887,382.296,3650000,Hazm Al Markhiya,25.277967458892473,51.52339248614074
2023-11-09,Doha,Fereej Bin Omran,Residence,117,555.831,700000,Fereej Bin Omran,25.277967458892473,51.52339248614074
2023-11-09,Al Rayyan,Gharrafat Al Rayyan,Vacant Land,717,299.959,2315000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2023-11-09,Al Rayyan,Fereej Al Soudan,Residence,578,397.068,2470370,Fereej Al Soudan,24.928100723590358,51.08167176463156
2023-11-09,Al Rayyan,Al Gharrafa,Vacant Land,1352,309.219,4500000,Al Gharrafa,24.928100723590358,51.08167176463156
2023-11-09,Al Rayyan,Muaither,Residence,542,370.241,2160000,Muaither,24.928100723590358,51.08167176463156
2023-11-09,Al Rayyan,Gharrafat Al Rayyan,Residence,525,672.442,3800000,Gharrafat Al Rayyan,24.928100723590358,51.08167176463156
2023-11-08,Doha,The Pearl Island,Residential Unit,303,1190.58,3883037,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,128,1181.45,1639608,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,192,1245.69,2580060,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,79,1252.81,1068970,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,262,1240.84,3501890,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Umm Salal,Umm Ebairiya,Vacant Land,1128,218.256,2650000,Umm Ebairiya,25.468814293441394,51.34446945529472
2023-11-08,Doha,Fereej Bin Omran,Residence,214,564.365,1300000,Fereej Bin Omran,25.277967458892473,51.52339248614074
2023-11-08,Doha,Najma,Residence,135,1169.891,1700000,Najma,25.277967458892473,51.52339248614074
2023-11-08,Al Rayyan,Al Aziziya,Residence,377,431.248,1750000,Al Aziziya,24.928100723590358,51.08167176463156
2023-11-08,Al Daayen,Umm Qarn,Vacant Land,416,270.0,1209000,Umm Qarn,25.506442965229745,51.466419091145966
2023-11-08,Doha,The Pearl Island,Residential Unit,175,1181.89,2226815,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,79,1253.38,1072150,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,286,1240.13,3830120,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,189,1245.95,2543310,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,Umm Ghuwailina,Residence,104,1643.0,1184000,Umm Ghuwailina,25.277967458892473,51.52339248614074
2023-11-08,Al Rayyan,Umm Al Senaim,Residence,1200,464.516,6000000,Umm Al Senaim,24.928100723590358,51.08167176463156
2023-11-08,Al Wakrah,Al Wakrah,Vacant Land,490,343.173,1810000,Al Wakrah,,
2023-11-08,Doha,The Pearl Island,Residential Unit,116,1547.33,1945510,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,120,1076.6,1400000,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,201,1244.92,2700950,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,128,1243.95,1726340,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Doha,The Pearl Island,Residential Unit,177,1474.95,2822960,The Pearl Island,25.277967458892473,51.52339248614074
2023-11-08,Umm Salal,Al Kharaitiyat,Residence,525,410.012,2317000,Al Kharaitiyat,25.468814293441394,51.34446945529472
2023-11-08,Al Khor,Al Khor,Vacant Land,540,240.86,1400000,Al Khor,,
